Title,Author.Year,Lat,Long,Crop_Type,Crop_TypeMaize,Crop_TypeRice,Crop_TypeWheat,Tmp,Prec,BD,Clay,SOC,pH,Fertilizer,FertilizerAN,FertilizerMA,FertilizerO,FertilizerU,FertilizerEEF,Tillage practice,Irrigation,Fertilizer placement,Nrate,EF,Management,Continent
Effects of Water and Nitrogenous Fertilizer Coupling on CH4 and N2O Emission from Double-Season Rice Paddy Field,"Fu et al., 2015",28.14,113.2,Rice,0,1,0,0.808051927,-0.745879573,0.815695731,-0.188855655,-0.464084927,-0.893827327,U,0,0,0,1,0,1,0,0,-0.521182442,0.77,,Asia
Effects of rate and depth of fertilizer application on emission of nitrous oxide from soil fertilized with anhydrous ammonia,"Breitenbeck & Bremner, 1986",41.95,-93.71,Maize,1,0,0,-0.721836482,0.356340317,-0.119436313,0.432954495,2.762137756,0.035227213,O,0,0,1,0,0,1,0,1,2.074213831,1.02,,North America
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.252213078,3.454580228,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,1,0,-1.007819243,0.78,,Asia
Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,"Adviento Borbe et al., 2013",38.9,-121.73,Rice,0,1,0,0.413242015,-1.459316448,0.815695731,2.764742559,-0.225105469,-0.893827327,U,0,0,0,1,0,1,1,0,-0.358970175,0.79,,North America
Effects of rate and depth of fertilizer application on emission of nitrous oxide from soil fertilized with anhydrous ammonia,"Breitenbeck & Bremner, 1986",41.95,-93.71,Maize,1,0,0,-0.721836482,0.356340317,-0.119436313,0.432954495,2.762137756,0.035227213,O,0,0,1,0,0,1,0,1,1.263152495,1.1,,North America
Direct emission factor for N2O from rice???¡°Cwinter wheat rotation systems in southeast China,"Zou et al., 2005",31.87,118.83,Rice,0,1,0,0.906754405,-0.457298366,-0.119436313,2.142932409,-0.225105469,-0.197036422,MA,0,1,0,0,0,1,0,0,0.030339266,0.85,,Asia
Integrated Effect of Incorporation with Different Organic Manures on CH4 and N2O Emissions from Rice Paddy,"Zou et al., 2003",31.83,118.85,Rice,0,1,0,1.005456883,-0.814016803,-0.119436313,1.987479871,0.372343176,-0.197036422,MA,0,1,0,0,0,1,0,0,3.198885549,0.85,,Asia
Direct emission factor for N2O from rice???¡°Cwinter wheat rotation systems in southeast China,"Zou et al., 2005",31.87,118.83,Rice,0,1,0,0.906754405,-0.457298366,-0.119436313,2.142932409,-0.225105469,-0.197036422,U,0,0,0,1,0,1,0,0,-0.358970175,0.86,,Asia
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.252213078,3.454580228,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,0,0,-0.575253198,0.88,,Asia
Methane and nitrous oxide emissions from rice and maize production in diversified rice cropping systems,"Weller et al., 2015",14.16,121.26,Rice,0,1,0,1.252213078,0.155936701,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,0,0,-0.034545641,0.89,,Asia
Measurement of nitrous oxide emissions from two rice-based cropping systems in China,"Xiong et al., 2002",28.25,116.92,Rice,0,1,0,1.120609774,1.266172736,0.815695731,-0.188855655,-0.464084927,-1.590618232,MA,0,1,0,0,0,1,0,0,1.02524117,0.9,,Asia
Nitrous oxide and methane emissions from a subtropical rice???¡°Crapeseed rotation system in China: A 3-year field case study,"Zhou et al., 2015",30.27,105.47,Rice,0,1,0,1.202861839,-0.308999689,-1.989700401,-0.779575298,-0.583574656,1.661072658,U,0,0,0,1,0,1,0,0,0.722444939,0.92,,Asia
"Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China","Dong et al., 2018",45.82,126.8,Rice,0,1,0,0.380341189,0.200025496,-0.119436313,-0.033403118,0.611322634,-0.545431874,U,0,0,0,1,0,1,1,1,0.45209116,0.96,,Oceania
Direct emission factor for N2O from rice???¡°Cwinter wheat rotation systems in southeast China,"Zou et al., 2005",31.87,118.83,Rice,0,1,0,0.906754405,-0.457298366,-0.119436313,2.142932409,-0.225105469,-0.197036422,MA,0,1,0,0,0,1,0,0,0.646745881,0.99,,Asia
Effects of rate and depth of fertilizer application on emission of nitrous oxide from soil fertilized with anhydrous ammonia,"Breitenbeck & Bremner, 1986",41.95,-93.71,Maize,1,0,0,-0.721836482,0.356340317,-0.119436313,0.432954495,2.762137756,0.035227213,O,0,0,1,0,0,1,0,1,0.45209116,1.21,,North America
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.400266795,0.588808512,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,1,0,-0.034545641,1,,Asia
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.252213078,3.454580228,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,0,0,-1.007819243,1,,Asia
Direct emission factor for N2O from rice???¡°Cwinter wheat rotation systems in southeast China,"Zou et al., 2005",31.87,118.83,Rice,0,1,0,0.906754405,-0.457298366,-0.119436313,2.142932409,-0.225105469,-0.197036422,U,0,0,0,1,0,1,0,0,1.263152495,1.02,,Asia
Effects of rice straw and nitrogen fertilization on greenhouse gas emissions and carbon storage in tropical flooded soil planted with rice,"Bhattacharyya et al., 2012",20.42,85.92,Rice,0,1,0,1.383816382,4.196073609,1.750827774,0.192003062,-0.822554114,-0.777695509,MA,0,1,0,0,0,1,1,0,-1.332243777,1.02,,Asia
Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,"Adviento Borbe et al., 2013",39.01,-121.7,Rice,0,1,0,0.511944493,-1.687776571,0.815695731,0.355228226,-0.10561574,-1.590618232,U,0,0,0,1,0,1,1,0,-0.899677732,1.03,,North America
Direct emission factor for N2O from rice???¡°Cwinter wheat rotation systems in southeast China,"Zou et al., 2005",31.87,118.83,Rice,0,1,0,0.906754405,-0.457298366,-0.119436313,2.142932409,-0.225105469,-0.197036422,U,0,0,0,1,0,1,0,0,2.885275166,1.06,,Asia
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.400266795,0.588808512,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,0,0,-0.575253198,1.08,,Asia
"Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China","Dong et al., 2018",45.82,126.8,Rice,0,1,0,0.413242015,0.079783327,-0.119436313,-0.033403118,0.611322634,-0.545431874,U,0,0,0,1,0,1,0,1,0.45209116,1.08,,Oceania
Quantifying changes to the global warming potential of rice wheat systems with the adoption of conservation agriculture in northwestern India,"Tirol Padre et al., 2016",29.68,77,Rice,0,1,0,1.81152712,0.364356462,0.815695731,0.005460017,-0.942043843,0.151359031,U,0,0,0,1,0,1,0,0,-0.358970175,1.09,,Asia
Effects of rate and depth of fertilizer application on emission of nitrous oxide from soil fertilized with anhydrous ammonia,"Breitenbeck & Bremner, 1986",41.95,-93.71,Maize,1,0,0,-0.721836482,0.356340317,-0.119436313,0.432954495,2.762137756,0.035227213,O,0,0,1,0,0,1,0,1,-0.358970175,1.42,,North America
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.252213078,3.454580228,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,1,0,-0.575253198,1.31,,Asia
"Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China","Dong et al., 2018",45.82,126.8,Rice,0,1,0,0.380341189,0.200025496,-0.119436313,-0.033403118,0.611322634,-0.545431874,U,0,0,0,1,0,1,1,1,-1.17003151,1.31,,Oceania
Effects of long-term straw incorporation on the net global warming potential and the net economic benefit in a rice???¡°Cwheat cropping system in China,"Xia et al., 2014",31.56,120.71,Rice,0,1,0,0.98900647,0.58480044,-0.119436313,0.044323151,0.611322634,1.428809023,MA,0,1,0,0,0,1,0,0,2.982602526,1.39,,Asia
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.400266795,0.588808512,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,0,0,-0.034545641,1.44,,Asia
"Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China","Dong et al., 2018",45.82,126.8,Rice,0,1,0,0.413242015,0.079783327,-0.119436313,-0.033403118,0.611322634,-0.545431874,U,0,0,0,1,0,1,0,1,-1.17003151,1.58,,Oceania
Long-term field measurements of annual methane and nitrous oxide emissions from a Chinese subtropical wheat-rice rotation system,"Zhou et al., 2006",30.27,105.47,Rice,0,1,0,1.120609774,0.809252491,-1.989700401,-0.857301567,-0.583574656,1.777204476,U,0,0,0,1,0,1,0,0,-0.358970175,1.8,,Asia
Nitrous oxide and methane emissions from a subtropical rice???¡°Crapeseed rotation system in China: A 3-year field case study,"Zhou et al., 2015",30.27,105.47,Rice,0,1,0,1.120609774,0.809252491,-1.989700401,-0.779575298,-0.583574656,1.661072658,U,0,0,0,1,0,1,0,0,-0.358970175,1.8,,Asia
Effects of long-term straw incorporation on the net global warming potential and the net economic benefit in a rice???¡°Cwheat cropping system in China,"Xia et al., 2014",31.56,120.71,Rice,0,1,0,0.98900647,0.58480044,-0.119436313,0.044323151,0.611322634,1.428809023,MA,0,1,0,0,0,1,0,0,1.641647785,1.81,,Asia
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.202861839,0.063751037,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,0,0,-0.575253198,1.85,,Asia
Nitrous oxide and methane emissions from a subtropical rice???¡°Crapeseed rotation system in China: A 3-year field case study,"Zhou et al., 2015",30.27,105.47,Rice,0,1,0,1.120609774,0.809252491,-1.989700401,-0.779575298,-0.583574656,1.661072658,U,0,0,0,1,0,1,0,0,0.722444939,1.88,,Asia
Long-term field measurements of annual methane and nitrous oxide emissions from a Chinese subtropical wheat-rice rotation system,"Zhou et al., 2006",30.27,105.47,Rice,0,1,0,1.120609774,0.809252491,-1.989700401,-0.857301567,-0.583574656,1.777204476,U,0,0,0,1,0,1,0,0,0.722444939,1.96,,Asia
Effects of rate and depth of fertilizer application on emission of nitrous oxide from soil fertilized with anhydrous ammonia,"Breitenbeck & Bremner, 1986",41.95,-93.71,Maize,1,0,0,-0.721836482,0.356340317,-0.119436313,0.432954495,2.762137756,0.035227213,O,0,0,1,0,0,1,0,1,-1.17003151,1.63,,North America
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.202861839,0.063751037,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,0,0,-0.034545641,2.17,,Asia
Impact of Different Nitrogen Application on Nitrogen Movement and Gaseous Loss of Winter Wheat Fields,"Ji et al., 2010",31.13,115.07,Wheat,0,0,1,-1.067295156,0.175977062,0.815695731,-0.111129387,-0.464084927,2.009468111,U,0,0,0,1,0,1,1,0,-1.17003151,0.02,,Asia
Impact of Different Nitrogen Application on Nitrogen Movement and Gaseous Loss of Winter Wheat Fields,"Ji et al., 2010",31.13,115.07,Wheat,0,0,1,-1.067295156,0.175977062,0.815695731,-0.111129387,-0.464084927,2.009468111,U,0,0,0,1,0,1,1,0,-0.358970175,0.02,,Asia
Nitrous Oxide Emissions from a Northern Great Plains Soil as Influenced by Nitrogen Management and Cropping Systems,"Dusenbury et al., 2008",45.67,-111.15,Wheat,0,0,1,-1.495005894,-0.276935111,-1.054568357,-1.121570881,-0.703064385,0.383622666,U,0,0,0,1,0,1,0,0,-0.088616397,0.03,,North America
Impact of Different Nitrogen Application on Nitrogen Movement and Gaseous Loss of Winter Wheat Fields,"Ji et al., 2010",31.13,115.07,Wheat,0,0,1,-1.067295156,0.175977062,0.815695731,-0.111129387,-0.464084927,2.009468111,U,0,0,0,1,0,1,1,0,1.263152495,0.04,,Asia
Effects of tillage during the nonwaterlogged period on nitrous oxide and nitric oxide emissions in typical Chinese rice-wheat rotation ecosystems,"Yao et al., 2010",31.62,120.47,Wheat,0,0,1,-1.231799286,0.328283811,0.815695731,-1.556837987,0.013873989,-0.080904604,EEF,0,0,1,0,1,1,0,0,-0.034545641,0.39,,Asia
Effects of tillage during the nonwaterlogged period on nitrous oxide and nitric oxide emissions in typical Chinese rice-wheat rotation ecosystems,"Yao et al., 2010",31.62,120.47,Wheat,0,0,1,-1.231799286,0.328283811,0.815695731,-1.556837987,0.013873989,-0.080904604,EEF,0,0,1,0,1,0,0,0,-0.034545641,0.61,,Asia
Effects of long-term straw incorporation on the net global warming potential and the net economic benefit in a rice???¡°Cwheat cropping system in China,"Xia et al., 2014",31.56,120.71,Wheat,0,0,1,-1.36340259,-0.898186322,-0.119436313,0.044323151,0.611322634,1.428809023,MA,0,1,0,0,0,1,0,0,2.16072704,0.05,,Asia
Impact of Different Nitrogen Application on Nitrogen Movement and Gaseous Loss of Winter Wheat Fields,"Ji et al., 2010",31.13,115.07,Wheat,0,0,1,-1.067295156,0.175977062,0.815695731,-0.111129387,-0.464084927,2.009468111,U,0,0,0,1,0,1,1,0,0.45209116,0.05,,Asia
"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives","Schewenke et al., 2016",-31.48,150.18,Wheat,0,0,1,-0.853439786,-0.369120774,-0.119436313,2.531563753,-1.061533572,-0.080904604,U,0,0,0,1,0,0,0,1,-1.115960755,0.06,,Oceania
Estimation of N2O emissions from agricultural soils in Canada. I. Development of a country-specific methodology,"Rochette et al., 2008",45.41,-73.94,Maize,1,0,0,-0.442179461,0.364356462,-0.119436313,0.59617966,-0.225105469,-0.313168239,O,0,0,1,0,0,0,0,1,-0.250828664,0.88,,North America
"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives","Schewenke et al., 2016",-31.48,150.18,Wheat,0,0,1,-0.853439786,-0.369120774,-0.119436313,2.531563753,-1.061533572,-0.080904604,U,0,0,0,1,0,0,0,1,-1.5485268,0.08,,Oceania
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Wheat,0,0,1,-1.100195982,-0.53345174,-0.119436313,0.044323151,0.611322634,0.267490848,U,0,0,0,1,0,1,1,0,-0.358970175,0.09,,Asia
Responses of N2O and CH4 fluxes to fertilizer nitrogen addition rates in an irrigated wheat-maize cropping system in northern China,"Liu et al., 2012",34.93,110.72,Wheat,0,0,1,-1.511456307,-0.966323552,1.750827774,0.650588048,-0.464084927,2.125599928,U,0,0,0,1,0,1,1,1,-0.683394709,0.09,,Asia
Effect of fertilizer application on NO and N2O fluxes from agricultural fields,"Harrison et al., 1995",51.81,-0.35,Wheat,0,0,1,-1.19889846,-1.311017772,1.750827774,-0.064493625,-0.703064385,0.151359031,AN,1,0,0,0,0,1,0,0,-1.462013591,0.09,,Europe
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Wheat,0,0,1,-1.03439433,1.378398761,-1.989700401,-0.732939537,0.611322634,0.615886301,U,0,0,0,1,0,1,0,0,-0.521182442,0.1,,Asia
Nitrous Oxide Emissions from a Northern Great Plains Soil as Influenced by Nitrogen Management and Cropping Systems,"Dusenbury et al., 2008",45.67,-111.15,Wheat,0,0,1,-1.495005894,-0.276935111,-1.054568357,-1.121570881,-0.942043843,0.383622666,U,0,0,0,1,0,0,0,1,1.100940228,0.1,,North America
Effects of long-term straw incorporation on the net global warming potential and the net economic benefit in a rice???¡°Cwheat cropping system in China,"Xia et al., 2014",31.56,120.71,Wheat,0,0,1,-1.36340259,-0.898186322,-0.119436313,0.044323151,0.611322634,1.428809023,MA,0,1,0,0,0,1,0,0,1.187453437,0.11,,Asia
Estimation of N2O emissions from agricultural soils in Canada. I. Development of a country-specific methodology,"Rochette et al., 2008",45.41,-73.94,Maize,1,0,0,-0.442179461,0.364356462,-0.119436313,0.59617966,-0.225105469,-0.313168239,O,0,0,1,0,0,1,0,1,-0.250828664,1.06,,North America
The study on process of carbon and nitrogen flux and their influencing factors in upland red soil under long-term fertilizations,"Huang, 2011",26.75,111.87,Wheat,0,0,1,1.186411426,-0.100579928,-0.119436313,1.909753603,-0.822554114,-0.197036422,U,0,0,0,1,0,1,0,0,-1.007819243,0.11,,Asia
"Greenhouse gas (N2O and CH4) fluxes under nitrogen-fertilised dryland wheat and barley on subtropical Vertosols: risk, rainfall and alternatives","Schewenke et al., 2016",-31.48,150.18,Wheat,0,0,1,-0.853439786,-0.369120774,-0.119436313,2.531563753,-1.061533572,-0.080904604,U,0,0,0,1,0,0,0,1,-0.250828664,0.11,,Oceania
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Wheat,0,0,1,-1.100195982,-0.53345174,-0.119436313,0.044323151,0.611322634,0.267490848,U,0,0,0,1,0,1,1,0,0.181737382,0.12,,Asia
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Wheat,0,0,1,-1.100195982,-0.53345174,-0.119436313,0.044323151,0.611322634,0.267490848,U,0,0,0,1,0,1,1,0,0.722444939,0.12,,Asia
Nitrous Oxide Emissions from a Northern Great Plains Soil as Influenced by Nitrogen Management and Cropping Systems,"Dusenbury et al., 2008",45.67,-111.15,Wheat,0,0,1,-1.495005894,-0.276935111,-1.054568357,-1.121570881,-0.942043843,0.383622666,U,0,0,0,1,0,0,0,1,-1.061889999,0.12,,North America
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Wheat,0,0,1,-1.100195982,-0.53345174,-0.119436313,0.044323151,0.611322634,0.267490848,U,0,0,0,1,0,1,1,0,-0.899677732,0.13,,Asia
"Nitrogen fate and environmental consequence in paddy soil under rice-wheat rotation in the Taihu lake region, China","Zhao et al., 2009",31.32,120.42,Wheat,0,0,1,-0.952142265,0.897430082,0.815695731,-1.043844612,0.133363718,0.267490848,U,0,0,0,1,0,1,0,0,-0.899677732,0.13,,Asia
Estimation of N2O emissions from agricultural soils in Canada. I. Development of a country-specific methodology,"Rochette et al., 2008",45.41,-73.94,Maize,1,0,0,-0.442179461,0.364356462,-0.119436313,0.59617966,-0.225105469,-0.313168239,O,0,0,1,0,0,0,0,1,-1.115960755,1.25,,North America
Effect of Nitrogen Fertilizer Rates on Nitrous Oxide Emission from Paddy Field Under Rice-Wheat Rotation,"Wang et al., 2009",31.53,120.7,Wheat,0,0,1,-1.100195982,-0.53345174,-0.119436313,0.044323151,0.611322634,0.267490848,U,0,0,0,1,0,1,1,0,1.263152495,0.14,,Asia
"Nitrogen fate and environmental consequence in paddy soil under rice-wheat rotation in the Taihu lake region, China","Zhao et al., 2009",31.32,120.42,Wheat,0,0,1,-0.952142265,0.897430082,0.815695731,-1.043844612,0.133363718,0.267490848,U,0,0,0,1,0,1,0,0,0.722444939,0.14,,Asia
Responses of N2O and CH4 fluxes to fertilizer nitrogen addition rates in an irrigated wheat-maize cropping system in northern China,"Liu et al., 2012",34.93,110.72,Wheat,0,0,1,-1.511456307,-0.966323552,1.750827774,0.650588048,-0.464084927,2.125599928,U,0,0,0,1,0,1,1,1,1.263152495,0.14,,Asia
Estimation of N2O emissions from agricultural soils in Canada. I. Development of a country-specific methodology,"Rochette et al., 2008",45.41,-73.94,Maize,1,0,0,-0.442179461,0.364356462,-0.119436313,0.59617966,-0.225105469,-0.313168239,O,0,0,1,0,0,1,0,1,-1.115960755,1.38,,North America
Nitrous Oxide Emissions from a Northern Great Plains Soil as Influenced by Nitrogen Management and Cropping Systems,"Dusenbury et al., 2008",45.67,-111.15,Wheat,0,0,1,-1.52790672,-0.846081382,-1.054568357,-1.121570881,-0.703064385,0.383622666,U,0,0,0,1,0,0,0,1,0.668374183,0.14,,North America
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Wheat,0,0,1,-1.050844743,1.001639962,-1.989700401,-0.732939537,0.611322634,0.615886301,U,0,0,0,1,0,1,0,0,-0.521182442,0.15,,Asia
Nitrous oxide emissions from an intensively cultivated maize???¡°Cwheat rotation soil in the North China Plain,"Ding et al., 2007",35,114.4,Wheat,0,0,1,-1.314051351,-0.918226684,0.815695731,-0.966118344,-0.942043843,2.125599928,U,0,0,0,1,0,1,1,1,-0.358970175,0.15,,Asia
Responses of N2O and CH4 fluxes to fertilizer nitrogen addition rates in an irrigated wheat-maize cropping system in northern China,"Liu et al., 2012",34.93,110.72,Wheat,0,0,1,-1.511456307,-0.966323552,1.750827774,0.650588048,-0.464084927,2.125599928,U,0,0,0,1,0,1,1,1,2.344567609,0.15,,Asia
Is there a nitrogen fertilizer threshold emitting less N2O with the prerequisite of high wheat production?,"Yi et al., 2018",32.65,119.7,Wheat,0,0,1,-1.396303416,0.059742965,0.815695731,-0.188855655,0.850302092,1.080413571,U,0,0,0,1,0,1,0,0,0.062781719,0.16,,Asia
Nitrous oxide emissions from an intensively cultivated maize???¡°Cwheat rotation soil in the North China Plain,"Ding et al., 2007",35,114.4,Wheat,0,0,1,-1.511456307,-1.230856325,0.815695731,-0.966118344,-0.942043843,2.125599928,U,0,0,0,1,0,1,1,1,-0.358970175,0.16,,Asia
Responses of N2O and CH4 fluxes to fertilizer nitrogen addition rates in an irrigated wheat-maize cropping system in northern China,"Liu et al., 2012",34.93,110.72,Wheat,0,0,1,-1.511456307,-0.966323552,1.750827774,0.650588048,-0.464084927,2.125599928,U,0,0,0,1,0,1,1,1,-0.034545641,0.17,,Asia
Nitrous oxide emissions from an intensively cultivated maize???¡°Cwheat rotation soil in the North China Plain,"Ding et al., 2007",35,114.4,Wheat,0,0,1,-1.314051351,-0.918226684,0.815695731,-0.966118344,-0.942043843,2.125599928,U,0,0,0,1,0,1,1,1,0.722444939,0.18,,Asia
Nitrous oxide emissions from an intensively cultivated maize???¡°Cwheat rotation soil in the North China Plain,"Ding et al., 2007",35,114.4,Wheat,0,0,1,-1.511456307,-1.230856325,0.815695731,-0.966118344,-0.942043843,2.125599928,U,0,0,0,1,0,1,1,1,0.722444939,0.18,,Asia
Is there a nitrogen fertilizer threshold emitting less N2O with the prerequisite of high wheat production?,"Yi et al., 2018",32.65,119.7,Wheat,0,0,1,-1.396303416,0.059742965,0.815695731,-0.188855655,0.850302092,1.080413571,U,0,0,0,1,0,1,0,0,0.506161916,0.19,,Asia
Effects of long-term straw incorporation on the net global warming potential and the net economic benefit in a rice???¡°Cwheat cropping system in China,"Xia et al., 2014",31.56,120.71,Wheat,0,0,1,-1.462105068,1.214067796,-0.119436313,0.044323151,0.611322634,1.428809023,MA,0,1,0,0,0,1,0,0,2.16072704,0.2,,Asia
Effect of fertilizer application on NO and N2O fluxes from agricultural fields,"Harrison et al., 1995",51.81,-0.35,Wheat,0,0,1,-1.19889846,-1.311017772,1.750827774,-0.064493625,-0.703064385,0.151359031,AN,1,0,0,0,0,1,0,0,-0.942934336,0.2,,Europe
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Wheat,0,0,1,-1.03439433,1.378398761,-1.989700401,-0.732939537,0.611322634,0.615886301,U,0,0,0,1,0,1,0,0,-0.229200361,0.21,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Wheat,0,0,1,-1.050844743,1.001639962,-1.989700401,-0.732939537,0.611322634,0.615886301,U,0,0,0,1,0,1,0,0,-0.229200361,0.22,,Asia
Nitrous Oxide Emissions from a Northern Great Plains Soil as Influenced by Nitrogen Management and Cropping Systems,"Dusenbury et al., 2008",45.67,-111.15,Wheat,0,0,1,-1.52790672,-0.846081382,-1.054568357,-1.121570881,-0.703064385,0.383622666,U,0,0,0,1,0,0,0,1,-0.088616397,0.23,,North America
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Wheat,0,0,1,-1.03439433,1.378398761,-1.989700401,-0.732939537,0.611322634,0.615886301,U,0,0,0,1,0,1,0,0,-0.034545641,0.25,,Asia
"Nitrous oxide emissions and nitrate leaching from a rain-fed wheat-maize rotation in the Sichuan Basin, China","Zhou et al., 2013",31.27,105.47,Wheat,0,0,1,-1.264700112,-1.234864398,-0.119436313,-1.315886553,-0.822554114,1.661072658,U,0,0,0,1,0,1,0,1,-0.358970175,0.25,,Asia
Tillage and N source influence soil-emitted nitrous oxide in the Alberta Parkland region,"Lemke et al., 1999",53.11,-114.47,Wheat,0,0,1,-1.19889846,0.111847905,-0.119436313,-0.888392075,0.013873989,-0.545431874,U,0,0,0,1,0,1,0,1,-0.899677732,0.25,,North America
Is there a nitrogen fertilizer threshold emitting less N2O with the prerequisite of high wheat production?,"Yi et al., 2018",32.65,119.7,Wheat,0,0,1,-1.396303416,0.059742965,0.815695731,-0.188855655,0.850302092,1.080413571,U,0,0,0,1,0,1,0,0,0.938727961,0.26,,Asia
Nitrous oxide fluxes from corn fields: on-farm assessment of the amount and timing of nitrogen fertilizer,"Ma et al., 2010",45.3,-75.72,Wheat,0,0,1,-1.297600938,-1.687776571,-1.054568357,-0.888392075,-0.942043843,0.383622666,U,0,0,0,1,0,1,1,1,-1.007819243,0.27,,North America
"Nitrous oxide emissions and nitrate leaching from a rain-fed wheat-maize rotation in the Sichuan Basin, China","Zhou et al., 2013",31.27,105.47,Wheat,0,0,1,-1.264700112,-1.234864398,-0.119436313,-1.315886553,-0.822554114,1.661072658,U,0,0,0,1,0,1,0,1,0.722444939,0.28,,Asia
Tillage and N source influence soil-emitted nitrous oxide in the Alberta Parkland region,"Lemke et al., 1999",53.11,-114.47,Wheat,0,0,1,-1.19889846,0.111847905,-0.119436313,-0.888392075,0.013873989,-0.545431874,MA,0,1,0,0,0,1,0,1,-1.007819243,0.28,,North America
Tillage and N source influence soil-emitted nitrous oxide in the Alberta Parkland region,"Lemke et al., 1999",53.11,-114.47,Wheat,0,0,1,-1.19889846,0.111847905,-0.119436313,-0.888392075,0.013873989,-0.545431874,U,0,0,0,1,0,0,0,0,-0.899677732,0.31,,North America
"Nitrous oxide emissions and nitrate leaching from a rain-fed wheat-maize rotation in the Sichuan Basin, China","Zhou et al., 2013",31.27,105.47,Wheat,0,0,1,-1.050844743,-0.87814596,-0.119436313,-1.315886553,-0.822554114,1.661072658,U,0,0,0,1,0,1,0,1,-0.358970175,0.32,,Asia
Tillage and N source influence soil-emitted nitrous oxide in the Alberta Parkland region,"Lemke et al., 1999",53.42,-113.37,Wheat,0,0,1,-0.985043091,-0.349080413,-2.924832445,1.210217183,0.850302092,0.267490848,MA,0,1,0,0,0,1,0,1,-1.007819243,0.32,,North America
